Nome estacao,Nr Rack,Area Linha Separaçao,Linha,Coluna,Codigo Material,Conferencia Obrigatoria
COLMÉIA,1,2,16,B,09593,0
COLMÉIA,1,2,16,C,52845,0
COLMÉIA,1,2,16,D,58629,0
COLMÉIA,1,2,16,E,94220,0
COLMÉIA,1,2,16,F,84869,0
COLMÉIA,1,2,16,G,54512,0
COLMÉIA,1,2,16,H,84861,0
COLMÉIA,1,2,16,I,56659,0
COLMÉIA,1,2,16,J,93282,0
COLMÉIA,1,2,16,K,93281,0
COLMÉIA,1,2,16,L,55438,0
COLMÉIA,1,2,16,M,90106,0
COLMÉIA,1,2,16,N,53847,0
COLMÉIA,1,2,16,O,07395,0
COLMÉIA,1,2,16,P,80835,0
COLMÉIA,1,2,16,Q,89635,0
COLMÉIA,1,2,16,R,55732,0
COLMÉIA,1,2,16,S,,0
COLMÉIA,1,2,16,T,54522,0
COLMÉIA,1,2,17,A,84868,0
COLMÉIA,1,2,17,B,09585,0
COLMÉIA,1,2,17,C,52795,0
COLMÉIA,1,2,17,D,84865,0
COLMÉIA,1,2,17,E,56671,0
COLMÉIA,1,2,17,F,52335,0
COLMÉIA,1,2,17,G,09590,0
COLMÉIA,1,2,17,H,93285,0
COLMÉIA,1,2,17,I,85027,0
COLMÉIA,1,2,17,J,05230,0
COLMÉIA,1,2,17,K,56640,0
COLMÉIA,1,2,17,L,93493,0
COLMÉIA,1,2,17,M,85943,0
COLMÉIA,1,2,17,N,89059,0
COLMÉIA,1,2,17,O,75756,0
COLMÉIA,1,2,17,P,86804,0
COLMÉIA,1,2,17,Q,85024,0
COLMÉIA,1,2,17,R,88164,0
COLMÉIA,1,2,17,S,,0
COLMÉIA,1,2,17,T,85016,0
COLMÉIA,1,2,18,A,85008,0
COLMÉIA,1,2,18,B,53767,0
COLMÉIA,1,2,18,C,59885,0
COLMÉIA,1,2,18,D,48108,0
COLMÉIA,1,2,18,E,27858,0
COLMÉIA,1,2,18,F,53910,0
COLMÉIA,1,2,18,G,85400,0
COLMÉIA,1,2,18,H,82548,0
COLMÉIA,1,2,18,I,85403,0
COLMÉIA,1,2,18,J,54516,0
COLMÉIA,1,2,18,K,94226,0
COLMÉIA,1,2,18,L,85026,0
COLMÉIA,1,2,18,M,59883,0
COLMÉIA,1,2,18,N,57021,0
COLMÉIA,1,2,18,O,51282,0
COLMÉIA,1,2,18,P,85402,0
COLMÉIA,1,2,18,Q,86120,0
COLMÉIA,1,2,18,R,93279,0
COLMÉIA,1,2,18,S,88018,0
COLMÉIA,1,2,18,T,85029,0
COLMÉIA,1,2,19,A,86125,0
COLMÉIA,1,2,19,B,93703,0
COLMÉIA,1,2,19,C,75595,0
COLMÉIA,1,2,19,D,85412,0
COLMÉIA,1,2,19,E,93287,0
COLMÉIA,1,2,19,F,51468,0
COLMÉIA,1,2,19,G,87491,0
COLMÉIA,1,2,19,H,81636,0
COLMÉIA,1,2,19,I,48990,0
COLMÉIA,1,2,19,J,54511,0
COLMÉIA,1,2,19,K,53741,0
COLMÉIA,1,2,19,L,93275,0
COLMÉIA,1,2,19,M,75765,0
COLMÉIA,1,2,19,N,58185,0
COLMÉIA,1,2,19,O,07394,0
COLMÉIA,1,2,19,P,59051,0
COLMÉIA,1,2,19,Q,75767,0
COLMÉIA,1,2,19,R,,0
COLMÉIA,1,2,19,S,54506,0
COLMÉIA,1,2,19,T,48102,0
COLMÉIA,1,2,20,A,94227,0
COLMÉIA,1,2,20,B,94230,0
COLMÉIA,1,2,20,C,52334,0
COLMÉIA,1,2,20,D,87101,0
COLMÉIA,1,2,20,E,81634,0
COLMÉIA,1,2,20,F,87762,0
COLMÉIA,1,2,20,G,95313,0
COLMÉIA,1,2,20,H,93701,0
COLMÉIA,1,2,20,I,54004,0
COLMÉIA,1,2,20,J,54001,0
COLMÉIA,1,2,20,K,52582,0
COLMÉIA,1,2,20,L,52585,0
COLMÉIA,1,2,20,M,84928,0
COLMÉIA,1,2,20,N,84970,0
COLMÉIA,1,2,20,O,50705,0
COLMÉIA,1,2,20,P,58813,0
COLMÉIA,1,2,20,Q,55505,0
COLMÉIA,1,2,20,R,82550,0
COLMÉIA,1,2,20,S,82553,0
COLMÉIA,1,2,20,T,87787,0
COLMÉIA,1,2,21,A,86123,0
COLMÉIA,1,2,21,B,94229,0
COLMÉIA,1,2,21,C,82546,0
COLMÉIA,1,2,21,D,86127,0
COLMÉIA,1,2,21,E,55481,0
COLMÉIA,1,2,21,F,59886,0
COLMÉIA,1,2,21,G,52583,0
COLMÉIA,1,2,21,H,36637,0
COLMÉIA,1,2,21,I,51190,0
COLMÉIA,1,2,21,J,94222,0
COLMÉIA,1,2,21,K,76689,0
COLMÉIA,1,2,21,L,57493,0
COLMÉIA,1,2,21,M,89060,0
COLMÉIA,1,2,21,N,01787,0
COLMÉIA,1,2,21,O,53904,0
COLMÉIA,1,2,21,P,01862,0
COLMÉIA,1,2,21,Q,84908,0
COLMÉIA,1,2,21,R,84907,0
COLMÉIA,1,2,21,S,87446,0
COLMÉIA,1,2,21,T,79909,0
COLMÉIA,1,2,22,A,75777,0
COLMÉIA,1,2,22,B,48106,0
COLMÉIA,1,2,22,C,82545,0
COLMÉIA,1,2,22,D,59053,0
COLMÉIA,1,2,22,E,81618,0
COLMÉIA,1,2,22,F,59048,0
COLMÉIA,1,2,22,G,55882,0
COLMÉIA,1,2,22,H,51276,0
COLMÉIA,1,2,22,I,55986,0
COLMÉIA,1,2,22,J,88619,0
COLMÉIA,1,2,22,K,86122,0
COLMÉIA,1,2,22,L,82815,0
COLMÉIA,1,2,22,M,75766,0
COLMÉIA,1,2,22,N,94228,0
COLMÉIA,1,2,22,O,81613,0
COLMÉIA,1,2,22,P,89470,0
COLMÉIA,1,2,22,Q,49218,0
COLMÉIA,1,2,22,R,52620,0
COLMÉIA,1,2,22,S,58622,0
COLMÉIA,1,2,22,T,88598,0
COLMÉIA,1,2,23,A,81626,0
COLMÉIA,1,2,23,B,81631,0
COLMÉIA,1,2,23,C,86737,0
COLMÉIA,1,2,23,D,82537,0
COLMÉIA,1,2,23,E,51272,0
COLMÉIA,1,2,23,F,94231,0
COLMÉIA,1,2,23,G,51273,0
COLMÉIA,1,2,23,H,52638,0
COLMÉIA,1,2,23,I,01863,0
COLMÉIA,1,2,23,J,59030,0
COLMÉIA,1,2,23,K,53427,0
COLMÉIA,1,2,23,L,89315,0
COLMÉIA,1,2,23,M,48107,0
COLMÉIA,1,2,23,N,86166,0
COLMÉIA,1,2,23,O,87103,0
COLMÉIA,1,2,23,P,57500,0
COLMÉIA,1,2,23,Q,81614,0
COLMÉIA,1,2,23,R,86605,0
COLMÉIA,1,2,23,S,59047,0
COLMÉIA,1,2,23,T,36826,0
COLMÉIA,1,2,24,A,86124,0
COLMÉIA,1,2,24,B,59041,0
COLMÉIA,1,2,24,C,59045,0
COLMÉIA,1,2,24,D,58188,0
COLMÉIA,1,2,24,E,85823,0
COLMÉIA,1,2,24,F,87440,0
COLMÉIA,1,2,24,G,89235,0
COLMÉIA,1,2,24,H,81605,0
COLMÉIA,1,2,24,I,55981,0
COLMÉIA,1,2,24,J,37696,0
COLMÉIA,1,2,24,K,58993,0
COLMÉIA,1,2,24,L,84882,0
COLMÉIA,1,2,24,M,87102,0
COLMÉIA,1,2,24,N,85006,0
COLMÉIA,1,2,24,O,55994,0
COLMÉIA,1,2,24,P,55984,0
COLMÉIA,1,2,24,Q,51268,0
COLMÉIA,1,2,24,R,88012,0
COLMÉIA,1,2,24,S,85848,0
COLMÉIA,1,2,24,T,36488,0
COLMÉIA,1,2,25,A,85854,0
COLMÉIA,1,2,25,B,59040,0
COLMÉIA,1,2,25,C,57475,0
COLMÉIA,1,2,25,D,88519,0
COLMÉIA,1,2,25,E,75297,0
COLMÉIA,1,2,25,F,94234,0
COLMÉIA,1,2,25,G,94232,0
COLMÉIA,1,2,25,H,51191,0
COLMÉIA,1,2,25,I,82491,0
COLMÉIA,1,2,25,J,81623,0
COLMÉIA,1,2,25,K,86128,0
COLMÉIA,1,2,25,L,79363,0
